1400;CANADIAN SYLLABICS HYPHEN;Pd;0;ON;;;;;N;;;;;
1401;CANADIAN SYLLABICS E;Lo;0;L;;;;;N;;;;;
1402;CANADIAN SYLLABICS AAI;Lo;0;L;;;;;N;;;;;
1403;CANADIAN SYLLABICS I;Lo;0;L;;;;;N;;;;;
1404;CANADIAN SYLLABICS II;Lo;0;L;;;;;N;;;;;
1405;CANADIAN SYLLABICS O;Lo;0;L;;;;;N;;;;;
1406;CANADIAN SYLLABICS OO;Lo;0;L;;;;;N;;;;;
1407;CANADIAN SYLLABICS Y-CREE OO;Lo;0;L;;;;;N;;;;;
1408;CANADIAN SYLLABICS CARRIER EE;Lo;0;L;;;;;N;;;;;
1409;CANADIAN SYLLABICS CARRIER I;Lo;0;L;;;;;N;;;;;
140A;CANADIAN SYLLABICS A;Lo;0;L;;;;;N;;;;;
140B;CANADIAN SYLLABICS AA;Lo;0;L;;;;;N;;;;;
140C;CANADIAN SYLLABICS WE;Lo;0;L;;;;;N;;;;;
140D;CANADIAN SYLLABICS WEST-CREE WE;Lo;0;L;;;;;N;;;;;
140E;CANADIAN SYLLABICS WI;Lo;0;L;;;;;N;;;;;
140F;CANADIAN SYLLABICS WEST-CREE WI;Lo;0;L;;;;;N;;;;;
1410;CANADIAN SYLLABICS WII;Lo;0;L;;;;;N;;;;;
1411;CANADIAN SYLLABICS WEST-CREE WII;Lo;0;L;;;;;N;;;;;
1412;CANADIAN SYLLABICS WO;Lo;0;L;;;;;N;;;;;
1413;CANADIAN SYLLABICS WEST-CREE WO;Lo;0;L;;;;;N;;;;;
1414;CANADIAN SYLLABICS WOO;Lo;0;L;;;;;N;;;;;
1415;CANADIAN SYLLABICS WEST-CREE WOO;Lo;0;L;;;;;N;;;;;
1416;CANADIAN SYLLABICS NASKAPI WOO;Lo;0;L;;;;;N;;;;;
1417;CANADIAN SYLLABICS WA;Lo;0;L;;;;;N;;;;;
1418;CANADIAN SYLLABICS WEST-CREE WA;Lo;0;L;;;;;N;;;;;
1419;CANADIAN SYLLABICS WAA;Lo;0;L;;;;;N;;;;;
141A;CANADIAN SYLLABICS WEST-CREE WAA;Lo;0;L;;;;;N;;;;;
141B;CANADIAN SYLLABICS NASKAPI WAA;Lo;0;L;;;;;N;;;;;
141C;CANADIAN SYLLABICS AI;Lo;0;L;;;;;N;;;;;
141D;CANADIAN SYLLABICS Y-CREE W;Lo;0;L;;;;;N;;;;;
141E;CANADIAN SYLLABICS GLOTTAL STOP;Lo;0;L;;;;;N;;;;;
141F;CANADIAN SYLLABICS FINAL ACUTE;Lo;0;L;;;;;N;;;;;
1420;CANADIAN SYLLABICS FINAL GRAVE;Lo;0;L;;;;;N;;;;;
1421;CANADIAN SYLLABICS FINAL BOTTOM HALF RING;Lo;0;L;;;;;N;;;;;
1422;CANADIAN SYLLABICS FINAL TOP HALF RING;Lo;0;L;;;;;N;;;;;
1423;CANADIAN SYLLABICS FINAL RIGHT HALF RING;Lo;0;L;;;;;N;;;;;
1424;CANADIAN SYLLABICS FINAL RING;Lo;0;L;;;;;N;;;;;
1425;CANADIAN SYLLABICS FINAL DOUBLE ACUTE;Lo;0;L;;;;;N;;;;;
1426;CANADIAN SYLLABICS FINAL DOUBLE SHORT VERTICAL STROKES;Lo;0;L;;;;;N;;;;;
1427;CANADIAN SYLLABICS FINAL MIDDLE DOT;Lo;0;L;;;;;N;;;;;
1428;CANADIAN SYLLABICS FINAL SHORT HORIZONTAL STROKE;Lo;0;L;;;;;N;;;;;
1429;CANADIAN SYLLABICS FINAL PLUS;Lo;0;L;;;;;N;;;;;
142A;CANADIAN SYLLABICS FINAL DOWN TACK;Lo;0;L;;;;;N;;;;;
142B;CANADIAN SYLLABICS EN;Lo;0;L;;;;;N;;;;;
142C;CANADIAN SYLLABICS IN;Lo;0;L;;;;;N;;;;;
142D;CANADIAN SYLLABICS ON;Lo;0;L;;;;;N;;;;;
142E;CANADIAN SYLLABICS AN;Lo;0;L;;;;;N;;;;;
142F;CANADIAN SYLLABICS PE;Lo;0;L;;;;;N;;;;;
1430;CANADIAN SYLLABICS PAAI;Lo;0;L;;;;;N;;;;;
1431;CANADIAN SYLLABICS PI;Lo;0;L;;;;;N;;;;;
1432;CANADIAN SYLLABICS PII;Lo;0;L;;;;;N;;;;;
1433;CANADIAN SYLLABICS PO;Lo;0;L;;;;;N;;;;;
1434;CANADIAN SYLLABICS POO;Lo;0;L;;;;;N;;;;;
1435;CANADIAN SYLLABICS Y-CREE POO;Lo;0;L;;;;;N;;;;;
1436;CANADIAN SYLLABICS CARRIER HEE;Lo;0;L;;;;;N;;;;;
1437;CANADIAN SYLLABICS CARRIER HI;Lo;0;L;;;;;N;;;;;
1438;CANADIAN SYLLABICS PA;Lo;0;L;;;;;N;;;;;
1439;CANADIAN SYLLABICS PAA;Lo;0;L;;;;;N;;;;;
143A;CANADIAN SYLLABICS PWE;Lo;0;L;;;;;N;;;;;
143B;CANADIAN SYLLABICS WEST-CREE PWE;Lo;0;L;;;;;N;;;;;
143C;CANADIAN SYLLABICS PWI;Lo;0;L;;;;;N;;;;;
143D;CANADIAN SYLLABICS WEST-CREE PWI;Lo;0;L;;;;;N;;;;;
143E;CANADIAN SYLLABICS PWII;Lo;0;L;;;;;N;;;;;
143F;CANADIAN SYLLABICS WEST-CREE PWII;Lo;0;L;;;;;N;;;;;
1440;CANADIAN SYLLABICS PWO;Lo;0;L;;;;;N;;;;;
